word,translation
Lei gli ha insegnato i trucchi del commercio.,She taught him the tricks of the trade.
Ci può essere una riduzione delle vocali.,There may be a reduction of vowels.
Tom si scusò diverse volte.,Tom apologized numerous times.
Io ho paura dell'autobus.,I'm afraid of the bus.
Finora ho visitato tre paesi europei.,I have visited three European countries so far.
Mary ha detto che si sentiva minacciata.,Mary said she felt threatened.
"È molto più bassa di me, vero?","She's much shorter than me, isn't she?"
Ne ho fumato uno.,I smoked one.
Tom è diventato un poliziotto.,Tom became a policeman.
Non ti seguirò.,I will not follow you.
Non mi forzare a farlo.,Don't force me to do that.
Parlo molto bene l'esperanto e un inglese stentato.,I speak very good Esperanto and broken English.
Io devo andare a trovarla.,I have to go find her.
"Mi piace la matematica, è una materia interessante.","I like math, it's an interesting subject matter."
Siete ancora arrabbiate con Tom?,Are you still angry with Tom?
"Tom è piuttosto grasso, vero?","Tom is kind of fat, isn't he?"
Noi siamo tutti preoccupati per lei.,We're all worried about her.
Lei aiuta sua moglie a casa?,Do you help your wife at home?
Pagammo un prezzo equo per essa.,We paid a fair price for it.
Tom ha detto che aveva finito.,Tom said he was finished.
Stiamo contando sul vostro aiuto.,We're counting on your help.
Non faccia bagnare il telefono.,Don't get the phone wet.
Voi mangiate in classe?,Do you eat in the classroom?
Questo mi ricorda di te.,This reminds me of you.
Io ho abitato qui per dieci anni.,I have lived here for ten years.
I soldati resistettero all'attacco nemico.,The soldiers resisted the enemy attack.
Io ho già risposto alle domande di Tom.,I've already answered Tom's questions.
Verrà al mio concerto?,Are you coming to my concert?
Stiamo giocando a scacchi.,We're playing chess.
Ha detto che vuole unirsi alla nostra band.,She said she wants to join our band.
Tom non era neppure qui ieri.,Tom wasn't even here yesterday.
Fatemi sapere se avrete bisogno di qualcosa.,Let me know if you'll need anything.
Disse che sarebbe stato disposto ad andare.,He said that he'd be willing to go.
Prendi in prestito un libro.,You borrow a book.
Cos'è questa roba verde?,What's this green stuff?
Chi non potrebbe amarti?,Who could not love you?
Dalle un po' di riposo.,Let her get some rest.
Oggi abbiamo avuto una festa a scuola.,Today we had a party at school.
La polvere è solubile in acqua.,The powder is soluble in water.
È sicura che possiamo fidarci di lui?,Are you sure we can trust him?
Mi scusi per il disturbo.,Excuse me for bothering you.
"Tom e Mary hanno un'automobile, vero?","Tom and Mary have a car, don't they?"
Guarda cosa mi è successo.,Look what happened to me.
Sono passata a Google Chrome e ha funzionato.,I switched to Google Chrome and it worked.
Hai bevuto del vino.,You drank wine.
Si unirà a noi?,Will you join us?
Ci sono alluvioni in Germania?,Are there floods in Germany?
È possibile che Tom non sapesse della conferenza.,It's possible Tom didn't know about the meeting.
Ho visto un ragazzo.,I saw a boy.
Lei pensa che Tom sia ancora alzato?,Do you think Tom is still up?
Mi disse che non era felice.,She told me that she wasn't happy.
Lui sgattaiolò fuori dall'aula.,He slipped out of the classroom.
Ci siamo divertiti un po'.,We've had some fun.
Tu sei un sognatore.,You're a dreamer.
Sami non era soddisfatto.,Sami wasn't satisfied.
Lei è più carina di me?,Is she prettier than me?
Noi la detestiamo.,We detest her.
"Tom è al supermercato, vero?","Tom is at the supermarket, isn't he?"
È di fretta.,He's in a hurry.
Hai promesso di aiutare.,You promised to help.
