word,translation
آپ کہاں تھے؟,Where were you?
مجھے آپ سے پیار ہے۔,I love you.
بی رنگ سبز خیالات شدت سے سوتی ہیں.,Colorless green ideas sleep furiously.
بۇ ئۆي بەك ياخشى.,This house is very good.
کتابیں پڑھ کے اسے بہت خوشی ملتی ہے۔,Reading is a great enjoyment to him.
جم اور نینسی کدھر ہیں؟,Do you know where Jim and Nancy are?
اجلاس پچھلے ہفتے منعقد ہوا تھا۔,The meeting took place last week.
مجھے مشورہ دو۔,Give me a tip.
پیانو کافی مہنگا ہے۔,A piano is expensive.
میرا بھائی ٹینس میں کبھی نہیں ہارا ہے,My brother has never lost at tennis.
دروازہ کون کھلا چھوڑ گیا تھا؟,Who left the door open?
تمھیں دکان سڑک کے کونے میں ملے گی۔,You'll find the shop around the corner.
کوئی بھی بچہ نہیں بیٹھا ہوا۔,None of the children are sitting.
کیا ہوٹل ہوائی اڈے کے قریب ہے؟,Is the hotel close to the airport?
انہوں نے لڑکے کو ڈوبنے سے بچا لیا۔,They rescued the boy from drowning.
آگ میں ۱۳ زندگیاں ضائع ہو گئی۔,The fire took 13 lives.
اس پھل کا ذائقہ خراب ہے۔,This fruit has a bad taste.
یوکو انگریزی بولتی ہے، ہے نا؟,"Yoko speaks English, doesn't she?"
وہ سوچ میں ڈوبا ہوا تھا۔,He was absorbed in thought.
فرج گوشت کو تازہ رکھتا ہے۔,A refrigerator keeps meat fresh.
استاد نے میری پیٹھ پر مجھے تھپکی دی۔,The teacher patted me on the back.
میں تمھیں سچ بتا رہا ہوں۔,I tell you the truth.
مجھے کسی بھی چیز سے ڈر نہیں لگتا۔,Nothing scares me.
گرم موسم میں پانی جلد اڑ جاتا ہے۔,"In hot weather, water evaporates quickly."
میری ہارڈ ڈرائیو تقریبا پوری بھڑھ گئی ہے۔,My hard drive is almost full.
وہ واقعی بہت خوبصورت لگ رہی ہے۔,She really looks pretty.
وہ پیانو کی روذ مشق کرتی ہے۔,She practices the piano every day.
میں میلان میں رہتا ہوں۔,I live in Milan.
آج میں نے ایک بلی کو پیار کیا۔,I pet a cat today.
کیا ہو رہا ہیں؟,What's up?
آپ کے پاس تین بلیاں ہیں۔,You have three cats.
تمہارے پاس تین بلیاں ہیں۔,You have three cats.
اس نے سب کچھ جیت لیا۔,He won everything.
روشنی کو بند کر دیں۔,Turn off the light.
روشنی کو بند کر دو۔,Turn off the light.
میرا سائنس پڑھنے کا موڈ نہیں ہو رہا۔,I don't feel like studying science.
یہ ایک بالکل نیا پڑوڈکٹ ہے۔,It is a brand new product.
وہ ایک اچھے خاندان سے تعلق رکھتی ہے۔,She comes from a good family.
یہ بلکل صحیح جواب ہے۔,That's the right answer.
یہ صحیح جواب نہیں ہے۔,That's not the right answer.
میں اگلے ہفتے سپین جا رہا ہوں۔,I'm going to Spain next week.
میں ابھی بھی مصروف ہوں۔,I'm still busy.
بس تھوڑی دور ہے۔,It's just a little further.
ٹام نے مریم کو ایک نوٹ پکرایا۔,Tom handed a note to Mary.
چاول گرم ممالک میں اگتا ہے۔,Rice grows in warm countries.
میں نے پورے یورپ کا سفر کیا۔,I traveled around Europe.
پیرس کے مقابلے میں لندن بہت بڑا ہے۔,"When compared to Paris, London is large."
مجھے قرض کی اب ضرورت نہیں ہے۔,I don't need a loan anymore.
سیمسٹر امتہان آخرکار ختم ہو گئے ہیں۔,The semester exams are finally over.
میں اس کے خیال سے اتفاق کرتا ہوں۔,I agree with his idea.
