word,translation
Tom juega béisbol como un profesional.,Tom plays baseball like a pro.
Lo quiero ya.,I just want it.
¡Mira! Hay un avión despegando.,Look! There's a plane taking off.
Estoy estudiando inglés.,I'm studying English.
¿Cuándo vas a ir al colegio?,When will you go to school?
Comí con mi hermanito.,I ate with my baby brother.
Tom es sorprendentemente friolero.,Tom is surprisingly sensitive to cold.
Tom está dando su examen final.,Tom is taking his final exam.
La buena comunicación hace buenos amigos.,Good communication makes good friends.
Nunca he llegado tarde a la oficina.,I've never arrived late to the office.
¿Ya acabaste tu tarea?,Have you finished doing your homework yet?
Tom despierta todas las mañanas a las ocho.,Tom wakes up at 8 a.m. every morning.
Esos calcetines se han quedado fuera.,These socks were left out.
La gente viajaba a pie.,People used to travel on foot.
Me robaron la cartera.,I had my wallet stolen.
Hice lo que pude.,I did what I could.
No sé cuál elegir.,I don't know which to choose.
Esta es una flor muy linda.,This is a very beautiful flower.
Tom no puede correr tan rápido como Mary.,Tom can't run as fast as Mary.
Ella no puede cantar.,She can't sing.
Ella es griega.,She is Greek.
Tom estuvo acompañado por un amigo.,Tom was accompanied by a friend.
No dejes que Tom cruce la calle.,Don't let Tom cross the street.
¿De quién es este lápiz?,Whose pencil is this?
Sos una maestra.,You are a teacher.
Ella le echaba mucho de menos.,She missed him a lot.
Ella está trabajando de noche y día.,She is working night and day.
Pon la escoba en el armario.,Put the broom in the closet.
Tom no quiere perderte.,Tom doesn't want to lose you.
¿Esa cosa es tuya?,Is that thing yours?
El niño se aferra a su madre.,The boy is clinging to his mother.
¿Cuál es el apellido de ella?,What's her last name?
Tom tenía toda la razón.,Tom was absolutely right.
Un camión chocó al perro.,The dog was hit by a truck.
El caracol retrae sus cuernos.,The snail draws in its feelers.
Me escondí detrás de un árbol.,I hid behind a tree.
Esta mesa está hecha de madera.,This table is made out of wood.
¿Ellos hablan francés?,Are they speaking French?
Yo me quedo en casa.,I'll stay home.
Me temo que he comido demasiado.,I'm afraid I've eaten too much.
Tengo diez bolígrafos.,I have ten pens.
Los vampiros cambian de forma.,Vampires change shape.
Tom no ha matado nunca a nadie.,Tom has never killed anybody.
Su discurso me aburrió.,His speech bored me.
La esperanza es la razón de la vida.,Hope is the reason for life.
La semana que viene lo explicaré en detalle.,I'll explain in detail next week.
Lo hice yo.,I did it myself.
Tom no quiere levantarse de la cama.,Tom doesn't want to get out of bed.
Estaba borracho y furioso.,He was drunk and angry.
Me alegro de no ser el jefe.,I'm happy that I'm not the boss.
No tengo ganas de hacer nada.,I don't feel like doing anything.
"¿Me puede reembolsar el dinero, por favor?","Can I have my money back, please?"
Tom será capaz de resolver el problema.,Tom will be able to solve the problem.
Los dos se disputaron el premio.,The two of them fought for the prize.
Parece que él es feliz.,It seems that he's happy.
No la veré más.,I'll see her no more.
Le quitaron el tumor.,The tumor was removed.
Tom esperaba oír de Mary.,Tom waited to hear from Mary.
Olvidaste el cortaúñas en el cuarto de baño.,You forgot the nail clippers in the bathroom.
Es difícil conseguir la felicidad.,It's hard to achieve happiness.
Esta noche voy a ver televisión.,I am going to watch TV this evening.
Él es un representante del movimiento pacifista.,He's a representative of the pacifist movement.
Dicen que ella va a casarse pronto.,They say that she'll get married soon.
Por favor saluda a tu familia.,Please say hello to your family.
¿Has entendido qué ha dicho?,Did you understand what he said?
La flor murió por falta de agua.,The flower died for lack of water.
Vivo en España.,I live in Spain.
No puedo seguirte.,I can't follow you.
Esto es cosa tuya.,This is your doing.
Me olvidé completamente de eso.,I completely forgot that.
La familia lo es todo.,Family is everything.
Lo olvidé en la cochera.,I forgot it in the garage.
Van con ella.,They're going with her.
Se cayó un libro de la estantería.,A book dropped from the shelf.
Mi hermano es bueno con las matemáticas.,My brother is good at mathematics.
¿Dónde está el directorio?,Where is the telephone book?
Yo no tengo dinero ni tiempo para eso.,I have neither time nor money for that.
Yo también empecé a llorar.,I started to cry too.
¿Tiene usted una regla?,Do you have a ruler?
¡Siempre te voy a amar!,I will love you forever!
Te llevaré al hospital.,I'll take you to the hospital.
Quiero una gominola.,I want a piece of candy.
Eso es un mito.,That's a myth.
Tom confía en Mary.,Tom trusts Mary.
Me casaré contigo.,I will marry you.
Los fans quieren conseguir sus autógrafos.,The fans want to get their autographs.
Vamos a tomar el sol en la galería.,Let's sun ourselves on the sun porch.
Rebobine la cinta.,Rewind the tape.
El cantante rompió las ventanas.,The singer broke the windows.
Será mejor que tengamos cuidado.,We'd better be careful.
"Los gatos no tienen dueños, tienen personal.","Cats don't have owners, they have staff."
Él es traductor.,He's a translator.
Tu amabilidad verdaderamente me conmueve.,Your kindness really touches me.
Soy campeón de mi provincia.,I'm the champion of my province.
Ella se decidió por el abrigo rojo.,She decided on the red coat.
Tom está buscando un trabajo.,Tom is seeking a job.
¡Pero qué día!,What a day!
La puerta se quedó cerrada.,The door remained closed.
Esto es sencillo.,This is easy.
¿Qué le parece Texas hasta ahora?,How do you like Texas so far?
Tom quiere que esta habitación esté impecable.,Tom wants this room spotless.
Soy amigo de su hermana.,I'm friends with her sister.
No me gusta mucho el queso.,I don't like cheese very much.
No te puedo parar.,I can't stop you.
Acabo de volver de la escuela.,I have just come back from school.
Tom estaba haciendo mucho ruido.,Tom was making a lot of noise.
No me preocupo de los gastos.,I don't care about the expense.
La cuerda se rompió al tensarse demasiado.,The rope broke under the strain.
"De hecho, está enfermo.","In fact, he is sick."
No me gustó el argumento de la película.,I didn't like the plot of the movie.
Los niños quieren zumo de frutas.,The kids want some fruit juice.
Estoy segura de que estarás muy cómoda ahí.,I'm sure you'll be very comfortable there.
Va a la oficina en coche.,He goes to the office by car.
El mundo me fascina.,The world fascinates me.
Dame tu dinero.,Give me your money.
Tom solía trabajar en una panadería.,Tom used to work in a bakery.
No quiero vivir contigo.,I don't want to live with you.
¿Qué más deberíamos comprar?,What else should we buy?
Los inviernos alemanes son fríos.,German winters are cold.
Tom no besó a Mary.,Tom didn't kiss Mary.
Puedo ocuparme de eso inmediatamente.,I can take care of that immediately.
La nave zarpó.,The ship set sail.
Sé que eso me haría feliz.,I know that would make me happy.
¿Cuál es tu sistema operativo favorito?,What's your favorite operating system?
Lo necesito aquí.,I need him here.
Ella puede cantar.,She can sing.
Disculpe por molestarlo.,Excuse me for bothering you.
Ahora sigue mi turno.,My turn comes next.
¿Puedes adivinar este acertijo?,Can you guess this riddle?
La ropa negra absorbe la luz.,Black cloth absorbs light.
Cantemos esa canción en inglés.,Let's sing the song in English.
Mi hermano me ayudó con la tarea.,My brother helped me with my homework.
Eres mi amiga.,You are my friend.
Ella miró el OVNI en silencio.,She stared at a UFO in silence.
¿Qué menú es hoy?,What's today's menu?
¿Sabéis quién lo mató?,Do you know who killed him?
El niño no es tan malo como parecía.,The boy isn't as bad as he seemed.
¿Cuál es tu postre favorito con plátanos?,What's your favorite dessert with bananas?
Yo trabajaba con ellas.,I used to work with them.
¿En qué país nació?,In what country were you born?
El techo de mi casa es rojo.,The roof of my house is red.
Alguien quería matarte.,Somebody wanted to kill you.
Oí esa canción cantada en francés.,I heard the song sung in French.
Estoy obligado a continuar en mi empleo.,I'm stuck in my job.
Yanni está engañando físicamente.,Yanni is physically cheating.
Él es el padre de dos hijos.,He is the father of two children.
Esta es nuestra casa.,This is our home.
Mary dio un estrujón a su muñeca.,Mary hugged her doll.
Tú dijiste que estabas comiendo.,You said that you were eating.
¡Enséñame el tuyo!,Show me yours!
Tu perro intentó morderme.,Your dog tried to bite me.
Te olvidarás de mí algún día.,You'll forget about me someday.
¿Cuántos hermanos y hermanas tenéis?,How many brothers and sisters do you have?
Lea este libro.,Read this book.
Cada cara de un poliedro es un polígono.,Each face of a polyhedron is a polygon.
El oso es negro.,The bear is black.
Yo le echaría un vistazo.,I'd look into it.
Le toca a ustedes.,The ball is in your court.
"¿Habías estado fumando, verdad?","You had been smoking, hadn't you?"
Tom no es un gato.,Tom isn't a cat.
Me sé multitud de canciones.,I know lots of songs.
Le di un reloj de oro.,I gave him a gold watch.
¿Y el feminismo? ¿Qué piensas del feminismo?,And feminism? What do you think about feminism?
"Por favor, adoptá este chuchito.",Please adopt this puppy.
Los prestamistas están disfrutando de un periodo lucrativo.,Money lenders are enjoying a profitable period.
Tom trabajó para Mary.,Tom worked for Mary.
¿Dónde está mi dinero?,Where's my money?
Tomás es de verdad muy apuesto.,Tom certainly is good-looking.
¿Por qué no viniste a preguntarme antes?,Why didn't you come to ask me earlier?
Volvimos al campamento antes de que anocheciera.,We came back to camp before dark.
El tiempo empeoró.,The weather turned bad.
Me comí un plátano.,I ate a banana.
No me gusta decirle la verdad.,I don't like telling her the truth.
"¡Ahiva, cómo habéis crecido!","My, how you've grown!"
¿Cuándo fue la última vez que cazaste?,When was the last time you hunted?
Nada que se le dijera conseguía persuadirlo.,No words availed to persuade him.
Seguramente esto no funcionará en absoluto.,Surely this won't work at all.
Él ha aprendido a ser paciente.,He has learned to be patient.
De repente él cerró la puerta.,He closed the door suddenly.
¡Hay una maleta abandonada en el andén!,There's an abandoned suitcase on the platform!
"Por favor, teclee su contraseña.","Enter your password, please."
Mírale y haz lo que haga él.,Watch him and do what he does.
Perdón si te ofendí.,Sorry if I offended you.
Tom se ve conmocionado.,Tom looks appalled.
El cielo está cubierto de nubes negras.,The sky is covered in black clouds.
Él les proveyó comida.,He provided them with food.
Mi hijo es más alto que yo.,My son is taller than me.
Un elefante tiene una nariz larga.,An elephant has a long nose.
Tom saludó a Mary con una sonrisa.,Tom greeted Mary with a smile.
¿Qué te parece si vamos al cine?,How about going to the movies?
El satélite está ahora en órbita.,The satellite is now in orbit.
Odia hablar en público.,She detests speaking in public.
No fumes demasiado.,Don't smoke too much.
Es un mal ejemplo.,It's a bad example.
Al odio le respondo con el perdón.,"To hatred, I reply with pardon."
Esto puede llegar a ser verdaderamente agotador.,This could get really tiresome.
Me gustan tus movimientos de baile.,I like your dance moves.
Ya no podía soportar el dolor.,He could no longer stand the pain.
Las ideologías son peligrosas.,Ideologies are dangerous.
Conozco sus nombres.,I know your names.
Vuelve a casa temprano.,Come home early.
¿Lo ves? Deberías estudiar un idioma extranjero.,You see? You must study a foreign language.
Puede que en eso tengas razón.,You may be right about that.
Creo que nevará mañana.,I believe it will be snowing tomorrow.
El auto consume mucha bencina.,The car consumes a lot of fuel.
"Finalmente, ella resolvió el problema.","At last, she solved the problem."
Dile a María que sé dónde vive.,Tell Mary that I know where she lives.
Deberíamos estudiar juntos.,We should study together.
Intentad no poneros tan tensos.,Try not to be so tense.
Tom tiene que cocinar la cena esta noche.,Tom has to cook dinner tonight.
¿Se te ha pinchado una rueda?,Did you get a flat tire?
Él llevaba un paraguas bajo el brazo.,He was carrying an umbrella under his arm.
¿Has venido solo?,Did you come here alone?
Yo le dije no a Tom.,I told Tom no.
Esta fábrica está completamente automatizada.,This factory is fully-automated.
La muerte es una misteriosa y despiadada dama.,Death is a mysterious lady without compassion.
Quédate un poco más.,Stay a little longer.
Le proporcioné comida.,I provided him with food.
No la toques. Déjala como está.,Don't touch it. Leave it as it is.
Él se compró una digital.,He purchased a digital one.
¿Cuál es la temperatura promedio aquí?,What's the average temperature here?
Tomás estaba vestido de negro.,Tom was dressed in black.
Enviadlo por correo aéreo.,Send it by airmail.
¡Ya sé lo que quieres!,I already know what you want!
Ayudé a Tom a subirse al caballo.,I helped Tom get on the horse.
Kate estaba sorprendida por su comportamiento.,Kate was astonished by his behavior.
Él es más fuerte que yo.,He is stronger than I am.
Su perro siempre me ladra.,His dog always barks at me.
Te deseo lo mejor.,I wish you all the best.
Súbete. Te llevaré a algún lado.,Get in. I'll drive you somewhere.
¿Te gustaría que yo trenzara tu cabello?,Would you like me to braid your hair?
Matar dos pájaros de un tiro.,To kill two birds with one stone.
Están en el laboratorio de ciencias.,They're in the science lab.
Tom tomó un autobús de regreso a Boston.,Tom took a bus back to Boston.
Noruega tiene muy poca densidad de población.,Norway has a very low population density.
Tenía problemas respiratorios.,He had trouble breathing.
Ella no se va a matar.,She won't kill herself.
Tenía miedo de que la expulsaran.,She was afraid she might be expelled.
Aquí hay una foto de mí.,Here is one picture of me.
¿Qué lengua se habla en Suiza?,What language is spoken in Switzerland?
Unimos nuestras fuerzas para alcanzar el objetivo.,We joined forces to reach our goal.
Él es universitario.,He is in college.
"Estaba cansada, pero siguió trabajando.","She was tired, but she kept working."
Layla se vistió bien.,Layla dressed nicely.
No me da la gana hacerlo.,I don't feel like doing it.
Planté este árbol hace tres años.,I planted this tree three years ago.
Me gusta llevar falda larga.,I like wearing long skirts.
El Monte Fuji puede ser visto desde aquí.,Mt. Fuji can be seen from here.
Tom piensa que vuestras ideas son estúpidas.,Tom thinks that your ideas are stupid.
"Ayúdame a abrir esto, por favor.","Help me open this, please."
Él cree que es normal.,He thinks that's normal.
"Si él viene, yo también.","If he's going, I'm going too."
Nos tenemos que ceñir a los hechos.,We've got to stick to the facts.
Éste es el que prefiero.,This is the one I prefer.
Compre algo de espumillón violeta.,Buy some purple tinsel.
"Lo que quiero no es té, sino café.","What I want isn't tea, but coffee."
Él se lastimó al saltar.,He got hurt after jumping.
Este estudiante es de Japón.,This student is from Japan.
Al Papa lo eligen los cardenales.,The cardinals elect the Pope.
