word,translation
Quand est l'Apocalypse ?,When is the Apocalypse?
Nous avons entendu un bruit.,We heard a noise.
On a remercié Tom.,Tom was let go.
Il se peut qu'il pleuve dans la soirée.,It may rain in the evening.
Mon vélo s'est fait voler.,I had my bicycle stolen.
C'est mon premier cheval.,This is my first horse.
J'aimerais habiter en France.,I would like to live in France.
Tu n'y es pas bonne.,You're not good at this.
J'aime la façon dont Tom pense.,I love the way Tom thinks.
Il commença à siffler un air.,He began to whistle a tune.
J'ai dix-huit ans.,I am eighteen years old.
Tom vola l'argent de Mary.,Tom stole Mary's money.
Yanni fait partie de la famille.,Yanni is family.
Je le fais tous les samedis matin.,I do it every Saturday morning.
Harry a honte d'avoir menti à Sally.,Harry is ashamed of having lied to Sally.
J'ai eu des hauts et des bas.,I've had my ups and downs.
Nous avons pris plaisir à patiner.,We enjoyed skating.
Un dénommé Henri veut vous voir.,Somebody called Hanry wants to see you.
Georgetown est la capitale du Guyana.,Georgetown is the capital of Guyana.
Je suis fort occupé.,I'm very busy.
Les animaux sentent la peur.,Animals sense fear.
Parlez dans le micro.,Speak into the microphone.
Tom n'aimait pas beaucoup les cours de français.,Tom didn't like French class very much.
Je n'aime pas les films d'horreur.,I don't like scary movies.
Tu parles bien.,You speak well.
Il n'est jamais allé en France.,He has not been to France.
Je suppose que vous êtes conscient des difficultés.,I presume you are aware of the difficulties.
"M'en apporterais-tu un autre, s'il te plaît ?","Would you bring me another one, please?"
Sa blague m’a beaucoup fait rire.,I had a good laugh at her joke.
Quelle fut la première capitale du Portugal ?,What was the first capital of Portugal?
Son comportement était de circonstance.,Her behavior was appropriate to the occasion.
Combien coûte une douzaine d'œufs ?,How much are a dozen eggs?
Je n’ai invité personne ce weekend.,I did not invite anyone this weekend.
Tom avait l'air de bien s'amuser.,Tom certainly appeared to be enjoying himself.
Thomas a perdu tout ce qu'il possédait.,Tom lost all his belongings.
Choisis des amis sur qui tu peux compter.,Choose friends you can rely on.
Peux-tu lire ce manuscrit ?,Can you read this manuscript?
Vous êtes parfois si puérils.,You are so childish sometimes.
À combien est le kilo de tomates ?,How much is the kilo of tomatoes?
Ça devient de plus en plus difficile.,It keeps getting harder and harder.
Nous signons un nouveau bail la semaine prochaine.,We're signing a new lease next week.
Je ne peux en faire davantage.,I can't do any more.
Tom a dit à Mary la vérité.,Tom told Mary the honest truth.
Croyez-vous que Tom soit coupable ?,Do you think Tom is guilty?
Ziri a quitté l'endroit.,Ziri left the area.
J'ai proposé qu'elle y aille seule.,I suggested that she go alone.
Tu dois seulement suivre les indications.,You have only to follow the directions.
Ça nous aiderait beaucoup.,That would be a big help.
Tu n'es pas aussi petite que moi.,You aren't as short as I am.
Qui l'a dessiné ?,Who drew it?
Personne n'a de réponse.,No one has an answer.
Je viens de Roumanie.,I'm from Romania.
Je pensais que nous étions heureuses.,I thought we were happy.
Marie avait un appétit d'oiseau.,Marie had the appetite of a bird.
Nous sommes une forteresse.,We are a fortress.
Ça te plaît d'être allongé sur l'herbe.,You like laying on the grass.
Il semble que ses souhaits aient été exaucés.,"Her wishes, it seems, have come true."
Il était heureux d'être juif.,He was happy being a Jew.
Elle était absente de la classe.,She was absent from class.
Tu n'es pas à la maison.,You are not at home.
Nous disons toutes les deux la vérité.,We're both telling the truth.
Qui t'a donné ce paquet ?,Who gave you that package?
Nous devons consommer moins.,We must consume less!
Je suis très heureux.,I'm very happy.
Cette fleur est plus jolie que celle-là.,This flower is more beautiful than that one.
Donnez-moi votre opinion s'il vous plaît.,Please tell me your opinion.
Le restaurant est beau.,The restaurant is beautiful.
Nous sommes-nous déjà rencontrés auparavant ?,Have we ever met before?
Le parc était presque vide.,The park was almost empty.
Peut-être que je n'aurais pas dû faire cela.,Perhaps I shouldn't have done that.
J'espère que tout va bien pour elle.,I hope she's all right.
Ces cookies sont tout juste sortis du four.,These cookies are fresh from the oven.
Le gouvernement entier a démissionné.,The whole government has resigned.
Il fut surpris de l'apprendre.,He was surprised to learn this.
Dis que ce n’est pas le cas.,Say it ain't so.
Ce fruit a une odeur désagréable.,This fruit has an unpleasant smell.
N'est-ce pas ce que vous souhaitez ?,Isn't that what you want?
Que puis-je te dire ?,What can I tell you?
La police a appréhendé un suspect.,The police arrested the suspect.
Vous vous êtes trompé de numéro.,You have the wrong number.
Je me souviens de ce jour-là.,I remember that day.
C'est comme ça que nous fonctionnons.,This is how we work.
Je déteste la pluie.,I hate the rain.
Tu étais jaloux.,You were jealous.
Elle s'est fait faire une nouvelle robe.,She had a new dress made.
Vous ne devriez pas y aller seule.,You should not go alone.
Le gâteau est encore chaud.,The cake is still warm.
Je sais que tu es également occupée.,"I know you're busy, too."
Elle est un disciple de Freud.,She is a follower of Freud.
Allons nous promener sur la plage.,Let's go for a walk on the beach.
Combien de temps cela a-t-il pris ?,How long did it take?
J'ai été occupé depuis dimanche passé.,I have been busy since last Sunday.
Nous irons vous rendre visite à l'occasion.,We will visit you occasionally.
Rappelez-vous ces règles.,Remember these rules.
"Fais ce que tu veux, je m'en fous.","Do what you want, I don't really care."
Les châteaux français sont très beaux.,French castles are very beautiful.
Laisse-moi te le porter.,Let me carry it for you.
Il n'a pas eu l'air de la reconnaître.,He didn't seem to recognize her.
"Avant de rencontrer Mary, Tom a beaucoup bu.","Before Tom met Mary, he drank heavily."
J'ai dû faire un discours.,I had to give a speech.
Comment est votre magasin ?,What is your store like?
Noël approche à grands pas.,Christmas is so close now.
Elles acceptent d'autres opinions.,They accept other opinions.
Tom surfe-t-il ?,Does Tom surf?
À qui sont ces lunettes ?,Whose glasses are these?
Nous nous inquiétons de ton avenir.,We worry about your future.
J'ai conduit Skura au bureau de Ziri.,I showed Skura into Ziri’s office.
Ce n'est pas bien de rire des autres.,It is not good to laugh at others.
Commençons par le commencement !,First things first.
Vous abdiquez vos responsabilités.,You are abrogating your responsibilities.
